"unique_id","population_count","measure_id","data_value","short_question_text"
"3651000-36005000100",11091,"ACCESS2",30.3,"Health Insurance"
"3651000-36005000200",4334,"ACCESS2",19.6,"Health Insurance"
"3651000-36005000400",5503,"ACCESS2",17,"Health Insurance"
"3651000-36005001600",5643,"ACCESS2",24.1,"Health Insurance"
"3651000-36005001900",1917,"ACCESS2",21.5,"Health Insurance"
"3651000-36005002000",8731,"ACCESS2",28.4,"Health Insurance"
"3651000-36005002300",4933,"ACCESS2",32.1,"Health Insurance"
"3651000-36005002500",5491,"ACCESS2",31.2,"Health Insurance"
"3651000-36005002701",3113,"ACCESS2",29.7,"Health Insurance"
"3651000-36005002702",4475,"ACCESS2",33.2,"Health Insurance"
"3651000-36005002800",5586,"ACCESS2",11.8,"Health Insurance"
"3651000-36005003100",1597,"ACCESS2",23.1,"Health Insurance"
"3651000-36005003300",3413,"ACCESS2",31,"Health Insurance"
"3651000-36005003500",3761,"ACCESS2",28.8,"Health Insurance"
"3651000-36005003700",245,"ACCESS2",27.1,"Health Insurance"
"3651000-36005003800",1264,"ACCESS2",21.4,"Health Insurance"
"3651000-36005003900",6475,"ACCESS2",31.5,"Health Insurance"
"3651000-36005004001",1420,"ACCESS2",17.9,"Health Insurance"
"3651000-36005004100",6127,"ACCESS2",32.2,"Health Insurance"
"3651000-36005004200",7143,"ACCESS2",23.3,"Health Insurance"
"3651000-36005004300",5056,"ACCESS2",31.4,"Health Insurance"
"3651000-36005004400",4797,"ACCESS2",27.9,"Health Insurance"
"3651000-36005004600",1555,"ACCESS2",22.6,"Health Insurance"
"3651000-36005004800",3883,"ACCESS2",30.1,"Health Insurance"
"3651000-36005005001",4767,"ACCESS2",27.4,"Health Insurance"
"3651000-36005005002",5823,"ACCESS2",32,"Health Insurance"
"3651000-36005005100",5810,"ACCESS2",28.7,"Health Insurance"
"3651000-36005005200",2031,"ACCESS2",26.8,"Health Insurance"
"3651000-36005005300",4669,"ACCESS2",26.1,"Health Insurance"
"3651000-36005005400",5853,"ACCESS2",29.7,"Health Insurance"
"3651000-36005005600",2711,"ACCESS2",28.4,"Health Insurance"
"3651000-36005005902",2582,"ACCESS2",22.5,"Health Insurance"
"3651000-36005006000",1129,"ACCESS2",24.1,"Health Insurance"
"3651000-36005006100",3713,"ACCESS2",10.9,"Health Insurance"
"3651000-36005006200",6585,"ACCESS2",29.4,"Health Insurance"
"3651000-36005006300",5280,"ACCESS2",21.2,"Health Insurance"
"3651000-36005006400",3967,"ACCESS2",22.1,"Health Insurance"
"3651000-36005006500",5337,"ACCESS2",26.9,"Health Insurance"
"3651000-36005006700",6984,"ACCESS2",34.7,"Health Insurance"
"3651000-36005006800",2897,"ACCESS2",20.8,"Health Insurance"
"3651000-36005006900",7564,"ACCESS2",25.5,"Health Insurance"
"3651000-36005007000",4584,"ACCESS2",26,"Health Insurance"
"3651000-36005007100",1907,"ACCESS2",19,"Health Insurance"
"3651000-36005007200",5432,"ACCESS2",21.7,"Health Insurance"
"3651000-36005007300",3893,"ACCESS2",33.8,"Health Insurance"
"3651000-36005007400",3710,"ACCESS2",19.3,"Health Insurance"
"3651000-36005007500",4869,"ACCESS2",25.4,"Health Insurance"
"3651000-36005007600",5190,"ACCESS2",26.3,"Health Insurance"
"3651000-36005007700",1927,"ACCESS2",27.7,"Health Insurance"
"3651000-36005007800",6418,"ACCESS2",25,"Health Insurance"
"3651000-36005007900",6733,"ACCESS2",30.2,"Health Insurance"
"3651000-36005008300",6155,"ACCESS2",31.1,"Health Insurance"
"3651000-36005008400",2374,"ACCESS2",15.3,"Health Insurance"
"3651000-36005008500",5457,"ACCESS2",27.8,"Health Insurance"
"3651000-36005008600",4176,"ACCESS2",26.4,"Health Insurance"
"3651000-36005008700",5466,"ACCESS2",28.6,"Health Insurance"
"3651000-36005008900",3177,"ACCESS2",29.7,"Health Insurance"
"3651000-36005009000",3667,"ACCESS2",23.5,"Health Insurance"
"3651000-36005009200",5017,"ACCESS2",20.7,"Health Insurance"
"3651000-36005009300",6356,"ACCESS2",29.3,"Health Insurance"
"3651000-36005009600",2594,"ACCESS2",20.7,"Health Insurance"
"3651000-36005009800",5038,"ACCESS2",17.5,"Health Insurance"
"3651000-36005011000",151,"ACCESS2",16.3,"Health Insurance"
"3651000-36005011502",4340,"ACCESS2",28.6,"Health Insurance"
"3651000-36005011700",1585,"ACCESS2",26.3,"Health Insurance"
"3651000-36005011800",5089,"ACCESS2",9.3,"Health Insurance"
"3651000-36005011900",5698,"ACCESS2",30.3,"Health Insurance"
"3651000-36005012101",3090,"ACCESS2",28.7,"Health Insurance"
"3651000-36005012102",1631,"ACCESS2",33.1,"Health Insurance"
"3651000-36005012300",4152,"ACCESS2",24.9,"Health Insurance"
"3651000-36005012500",3905,"ACCESS2",27,"Health Insurance"
"3651000-36005012701",2253,"ACCESS2",27.9,"Health Insurance"
"3651000-36005012901",4015,"ACCESS2",31.5,"Health Insurance"
